GO_Term,Category,GO_Number
GO:0004896,MF,4896
GO:0004888,MF,4888
GO:0038023,MF,38023
GO:0005057,MF,5057
GO:0004879,MF,4879
GO:0004871,MF,4871
GO:0099600,MF,99600
GO:0004872,MF,4872
GO:0060089,MF,60089
GO:0098531,MF,98531
GO:0001078,MF,1078
GO:0001227,MF,1227
GO:0001077,MF,1077
GO:0001228,MF,1228
GO:0003705,MF,3705
GO:0000982,MF,982
GO:0000981,MF,981
GO:0003700,MF,3700
GO:0001071,MF,1071
GO:0045182,MF,45182
GO:0017080,MF,17080
GO:0015459,MF,15459
GO:0008200,MF,8200
GO:0016248,MF,16248
GO:0016247,MF,16247
GO:0030545,MF,30545
GO:0030291,MF,30291
GO:0004860,MF,4860
GO:0019210,MF,19210
GO:0030295,MF,30295
GO:0019209,MF,19209
GO:0016538,MF,16538
GO:0019887,MF,19887
GO:0019207,MF,19207
GO:0019888,MF,19888
GO:0019212,MF,19212
GO:0019208,MF,19208
GO:0005096,MF,5096
GO:0008047,MF,8047
GO:0004869,MF,4869
GO:0004867,MF,4867
GO:0004866,MF,4866
GO:0030414,MF,30414
GO:0004857,MF,4857
GO:0061135,MF,61135
GO:0061134,MF,61134
GO:0030695,MF,30695
GO:0060590,MF,60590
GO:0060589,MF,60589
GO:0030234,MF,30234
GO:0005088,MF,5088
GO:0005085,MF,5085
GO:0098772,MF,98772
GO:0009055,MF,9055
